R0,TE,TP,TI1,TI2,nuA,ns,p_home_weekend,alphaTH,etaTH,alphaEP,alphaI1D,alphaHD,alphaI1H,eta,deaths
3.848429592,0.828844061,1.801160647,3.128491422,0.074357081,0.680775265,13.68761335,0.710905512,-0.18129069,0.044131457,-2.376475397,-14.2287899,-4.24226983,-3.339861378,0.027027537,1503
3.4643306,1.044886769,3.87558839,2.956860911,0.148544613,0.621852528,28.20488958,0.379979529,-0.363118134,0.052054821,-2.963206374,-4.568559254,-2.255815156,-1.023311359,0.012845123,187
2.343397611,1.322367856,3.059093656,4.24432072,0.23346039,0.595413435,15.98548826,0.959034619,0.741733136,0.00981077,-2.967635718,-7.907314507,-3.396051212,-2.733637322,0.025732852,26
2.932946947,0.747771168,1.831924846,4.195264032,0.289192423,0.286675292,73.48027622,0.428637232,0.299090304,0.0389875,-3.133310143,-11.8053826,-2.086218713,-1.691521942,0.018552246,649
3.06842838,1.119284801,3.479575316,2.932876342,0.188087718,0.406722637,91.7699569,0.777969878,-0.530609234,0.042770367,-2.252593862,-14.66514589,-2.964933476,-2.445654133,0.020029642,622
2.686378677,0.865101066,2.299248014,3.167976185,0.491198096,0.279142791,74.87917506,0.848939445,0.966469473,0.020694042,-2.38978838,-5.961448352,-2.447233851,-3.829787891,0.026459123,2741
3.652213153,0.992362735,1.93588598,3.927848536,0.111926657,0.214815028,60.77732934,0.990800726,0.627134056,0.024947289,-3.722651343,-6.256170019,-4.62622248,-3.525284825,0.03512287,4319
3.026364979,1.166000339,3.430316145,2.840931965,0.484503742,0.041437434,36.55773409,0.319758458,0.867360291,0.022164821,-1.579568298,-13.94015489,-2.411370888,-3.22103686,0.019087115,789
2.594566973,1.580626331,2.749236303,3.056659391,0.458306488,0.7554997,26.9772573,0.482343132,1.310927006,0.017739181,-3.372532191,-5.232797637,-10.67147618,-3.844762648,0.030819213,92
3.223824429,1.901912472,3.722539989,3.897988947,0.129588994,0.31936358,13.55823577,0.341799731,-0.679766635,0.05771789,-2.470986394,-4.894225885,-13.49961665,-3.496696327,0.027975275,174
3.258307533,0.384099759,2.519255458,3.862919581,0.494057695,0.492051178,82.47837524,0.534053347,0.862489908,0.0320254,-2.566843261,-19.3476439,-3.600324713,-3.875726362,0.029913898,1074
4.191431677,0.461809857,1.476672143,4.042490965,0.117312668,0.524612586,14.09222245,0.135708824,0.226560252,0.036421067,-3.318291126,-9.992819583,-1.860885008,-1.831206431,0.020048776,8290
3.704044678,1.964792771,2.998807268,4.330852274,0.2434758,0.075151459,95.25609635,0.269149037,0.488155934,0.031059074,-2.636104481,-14.24661829,-3.40841075,-3.72154291,0.030093554,804
2.051520578,0.288954727,1.75145852,3.937276982,0.220296004,0.226633994,55.22985099,0.839299876,1.340213426,0.015193907,-2.98939865,-9.538429167,-1.948470992,-1.462959445,0.015621412,214
4.352215649,0.429551934,3.390862457,3.493894986,0.489412167,0.470033025,33.04867538,0.061553056,0.721059298,0.023956835,-1.955651823,-18.01806885,-2.434499799,-2.030548994,0.016811174,6741
3.946993527,1.009192983,1.588470604,4.282355013,0.473446449,0.639008711,98.6270492,0.76441898,1.450004937,0.013773197,-1.932869514,-17.48095653,-2.495577513,-2.591429035,0.020713052,9762
3.130688021,0.140464707,1.995894091,3.718920505,0.445548208,0.403516334,36.65975656,0.940205155,0.537276534,0.028278361,-3.224982254,-3.254106231,-2.975846744,-1.668905834,0.019596049,5607
2.761974616,0.316225368,1.482329949,3.3237387,0.420485519,0.088348298,76.66228702,0.22416857,1.469533431,0.013940317,-1.970863085,-4.83940251,-15.49030837,-3.053339994,0.018776373,10228
4.063756628,1.766778902,1.208864093,3.047946663,0.322201412,0.298086082,73.9253493,0.109049497,0.300797135,0.036217629,-1.824731214,-4.417951273,-15.84196716,-2.28623477,0.014129832,10349
3.562445283,1.204159237,3.662658747,3.566911563,0.012006038,0.795424883,69.37956317,0.160239001,0.789589176,0.02554585,-2.892035374,-5.512905685,-15.69986506,-3.645133012,0.0295174,896
2.891529716,0.653768701,1.613771742,3.704520524,0.043557886,0.380780471,94.35946966,0.757334273,-0.141055971,0.041482498,-2.350063882,-9.755677398,-2.860757726,-3.616549856,0.02478713,2193
4.01818736,0.527322561,1.909865696,3.141820119,0.307831038,0.73212536,91.26922794,0.025745295,0.655248298,0.026421566,-2.792972568,-8.771549004,-3.60918048,-2.606773733,0.023191971,6085
4.3098392,1.465473651,2.270176749,4.430903948,0.17384758,0.344299624,30.50698615,0.884241487,0.873444868,0.028138355,-3.212718865,-6.156087808,-14.36985529,-4.375424432,0.035771205,2276
