code,trustId
E05012628,RYG
E05012629,RYG
E05002705,RGT
E05002706,RGT
E05011304,RGT
E05012772,RGR
E05012780,RGR
E05012790,RGR
E05012796,RGR
E05012803,RGR
E05008720,RJE
E05008729,RJE
E05008734,RJE
E05008735,RJE
E05008748,RJE
E05011432,RJE
E05002446,RHU
E05002449,RHU
E05002452,RHU
E05011006,RHU
E05011436,RTD
E05011445,RTD
E05011455,RTD
E05011461,RTD
E05010888,RVJ
E05010908,RVJ
E05010913,RVJ
E05010917,RVJ
E05012113,RVJ
E05011095,NW6
E05011098,NW6
E05011106,NW6
E05011107,NW6
E05011116,NW6
E05003325,RFS
E05003326,RFS
E05003328,RFS
E05003330,RFS
E05003337,RFS
E05003338,RFS
E05012060,RFS
E05000142,8A718
E05000649,8A718
E05011907,RA9
E05012254,RA9
E05012257,RA9
E05005785,RGP
E05005789,RGP
E05005792,RGP
E05005797,RGP
E05011320,RCD
E05011321,RCD
E05011328,RCD
E05011329,RCD
E05002233,RDD
E05004027,RDD
E05004028,RDD
E05004031,RDD
E05004032,RDD
E05004033,RDD
E05002213,RAJ
E05002220,RAJ
E05002225,RAJ
E05002226,RAJ
E05008157,RXW
E05008164,RXW
E05008191,RXW
E05008482,R1F
E05008487,R1F
E05008497,R1F
E05008501,R1F
E05008515,R1F
E05004147,RQW
E05004171,RQW
E05004181,RQW
E05004185,RQW
E05004189,RQW
E05004732,RQW
E05004194,RQ8
E05004195,RQ8
E05004196,RQ8
E05004198,RQ8
E05004199,RQ8
E05004206,RQ8
E05008990,RDU
E05008992,RDU
E05012029,RDU
E05012032,RDU
E05012034,RDU
E05012038,RDU
E05009339,RDU
E05009344,RDU
E05010578,RDU
E05011047,RWG
E05011048,RWG
E05011052,RWG
E05011053,RWG
E05012200,RXN
E05012203,RXN
E05012204,RXN
E05012940,RNN
E05012943,RNN
E05012946,RNN
E05012950,RNN
E05012688,RBD
E05012697,RBD
E05012731,RBD
E05004450,RN5
E05004452,RN5
E05004458,RN5
E05005218,RXR
E05005220,RXR
E05011508,RXR
E05011511,RXR
E05011512,RXR
E05011517,RXR
E05011518,RXR
E05011524,RXR
E05012412,RBZ
E05012414,RBZ
E05012417,RBZ
E05012424,RBZ
E05012430,RBZ
E05007885,RWP
E05007886,RWP
E05007893,RWP
E05007920,RWP
E05007926,RWP
E05005131,RWF
E05005133,RWF
E05005136,RWF
E05005146,RWF
E05011637,RWF
E05007124,RDE
E05007125,RDE
E05007126,RDE
E05012737,RDE
E05012756,RDE
E05011743,AVQ
E05011748,AVQ
E05011750,AVQ
E05011753,AVQ
E05011756,AVQ
E05011760,AVQ
E05011781,AVQ
W05000457,7A2
W05000464,7A2
W05000468,7A2
E05008327,RN3
E05008955,RN3
